location,avg_score,am_score,pm_score,night_score,all_scores
Suilven,16.6,11.9,28.0,9.8,"11.9,28.0,9.8"
Stac Pollaidh,17.0,11.2,28.0,11.9,"11.2,28.0,11.9"
Bidean nam Bian,10.7,8.1,13.5,10.4,"8.1,13.5,10.4"
Buachaille Etive Mor,8.6,8.1,11.2,6.5,"8.1,11.2,6.5"
Ben Starav,9.5,9.5,14.0,5.1,"9.5,14.0,5.1"
Bla Bheinn,20.3,29.6,17.5,13.7,"29.6,17.5,13.7"
Cul Beag,16.4,9.1,26.6,13.5,"9.1,26.6,13.5"
Beinn Tarsuinn Corbett,10.3,14.0,9.8,7.2,"14.0,9.8,7.2"
Beinn Damh,15.4,10.0,24.0,12.1,"10.0,24.0,12.1"
An Ruadh Stac,15.1,9.3,21.7,14.4,"9.3,21.7,14.4"
Slioch,17.9,12.5,24.0,17.2,"12.5,24.0,17.2"
Baosbheinn,17.2,12.8,21.0,17.9,"12.8,21.0,17.9"
Beinn Dearg Mor,18.3,8.8,24.7,21.4,"8.8,24.7,21.4"
Beinn Eighe,19.2,13.9,23.3,20.4,"13.9,23.3,20.4"
Beinn Alligin - Sgurr Mor,19.1,18.1,24.0,15.1,"18.1,24.0,15.1"
Beinn na Caillich (Knoydart),13.8,10.5,23.1,7.7,"10.5,23.1,7.7"
